neighborhood,address,units,confirmed_apartment,company,naics,company_buildings_in_target
Inner Richmond,138 2nd Ave,,,Barry-Elizabeth LLC,531311,2
Inner Richmond,45 Lake St,,,Barry-Elizabeth LLC,531311,2
Inner Richmond,363 Arguello Blvd,,,Bernard Living Trust,531110,2
Inner Richmond,427 Arguello Blvd,,,Chan David & Pauline,531110,2
Inner Richmond,565 8th Ave,,,Chan David & Pauline,531110,2
Inner Richmond,493 7th Ave,,,Chan Lawrence,531110,2
Inner Richmond,687 4th Ave,,,Chester C & Soo Hing Lau,531110,2
Inner Richmond,705 2nd Ave,,,Chiu Andrew & Allan & Alfred,531110,2
Inner Richmond,27 Cabrillo St,6,yes,Choy Wilson G & Melina,53,2
Inner Richmond,625 Arguello Blvd,,,Daniel Oneill,531110,2
Inner Richmond,707 Arguello Blvd,,,Daniel Oneill,531110,2
Inner Richmond,203 4th Ave #205,,,Fain Alexander,53,2
Inner Richmond,301 Cornwall St,,,Fain Alexander,53,2
Inner Richmond,456 9th Ave,,,Fong Hanlon J,531110,2
Inner Richmond,152 2nd Ave #3,,,Fong Thin Jick & Choy Chow,531110,2
Inner Richmond,270 5th Ave,,,Fortier Claire A,531110,2
Inner Richmond,80 7th Ave,,,Fortier Claire A,531110,2
Inner Richmond,684 Funston Ave,,,Garret And Anita Tom Trust,53,2
Inner Richmond,388 2nd Ave,,,Goodman Keith,531110,2
Inner Richmond,1156 Clement St,,,Hall Tina,531110,2
Inner Richmond,52 7th Ave,,,Hall Tina,531110,2
Inner Richmond,327 Balboa St,6,yes,"Harbin Manchurian Cuisine, Inc.","53, 531110",2
Inner Richmond,325 A Balboa St,,,"Harbin Manchurian Cuisine, Inc.","53, 531110",2
Inner Richmond,415 3rd Ave,,,Hom Hanson Etal,531110,2
Inner Richmond,4405 California St,19,yes,Julia Apartments Lp,531110,2
Inner Richmond,4425 California St,,,Julia Apartments Lp,531110,2
Inner Richmond,1127 Clement St,,,Kahle/Austin Foundation,531110,2
Inner Richmond,300 Funston Ave,,,Kahle/Austin Foundation,531110,2
Inner Richmond,4333 California St,,,Karpman Stephen,531110,2
Inner Richmond,295 11th Ave,,,Kelly Nguyen,531110,2
Inner Richmond,Clement/11th,,,Kelly Nguyen,531110,2
Inner Richmond,609 - 61 Clement St,,,Klein Family Trust,531110,2
Inner Richmond,707 - 71 Clement St,,,Klein Family Trust,531110,2
Inner Richmond,269 5th Ave,,,Lai Ching II/Gum Kuer LLC,531110,2
Inner Richmond,463 8th Ave,,,Lee Chester & Doris K,531110,2
Inner Richmond,631 3rd Ave #633,,,Lee Donald O,531110,2
Inner Richmond,3030 Fulton St,8,yes,Lee John & Et Al,531110,2
Inner Richmond,500 7th Ave,,,Lee Living Trust,531110,2
Inner Richmond,455 9th Ave,,,Lee Nancy & Ho Robert,531110,2
Inner Richmond,2530 Fulton St,4,yes,Lee Robert J,531110,2
Inner Richmond,370 4th Ave,,,Lee Robert J,531110,2
Inner Richmond,1441 Anza St,,,Leung Chuk Ming & Eileen Lin,531110,2
Inner Richmond,1743 Anza Street,,,Leung Chuk Ming & Eileen Lin,531110,2
Inner Richmond,270 12th Ave,,,Lily Sathienthirakul,531110,2
Inner Richmond,274 12th Ave,,,Lily Sathienthirakul,531110,2
Inner Richmond,190 11th Ave,,,Link Kurt,531390,2
Inner Richmond,775 10th Ave,,,Lockary Joseph,531110,2
Inner Richmond,331 9th Ave,,,Louie Kelvin G & Genevieve,53,2
Inner Richmond,725 Arguello Blvd,,,Mar Jew,531110,2
Inner Richmond,401 Lake St,15,yes,Pietro & Pietro,531110,2
Inner Richmond,405 12th Ave,,,Rally Dean Tami,531311,2
Inner Richmond,4801 Geary Blvd 101-B,,,Rally Dean Tami,531311,2
Inner Richmond,80 7th Ave,,,Romel California LLC,531110,2
Inner Richmond,441 4th Ave,,,Ruan Nevin Xiao De,531110,2
Inner Richmond,1 Cabrillo St,23,yes,Sams Management Company Lp,531110,2
Inner Richmond,443 7 Th Ave,,,Samuel S. Luk,531110,2
Inner Richmond,530 11th Ave,,,Sophie Ng,531110,2
Inner Richmond,393 7th Ave Ste 301,,,Sunee Huang,531110,2
Inner Richmond,4751 Geary Blvd,,,Sunee Huang,531110,2
Inner Richmond,4320 California St,,,Talmage Oliver A.,531110,2
Inner Richmond,169 12th Ave,,,Tracy Lee,531110,2
Inner Richmond,225 7th Ave,,,Tracy Lee,531110,2
Inner Richmond,422 9th Ave,,,Trinity G2 Holding LLC,531110,2
Inner Richmond,440 9th Ave,,,Trinity G2 Holding LLC,531110,2
Inner Richmond,291 8th Ave,,,Wallerstein Donald M Estate Of,531110,2
Inner Richmond,620 Clement St,,,Wallerstein Donald M Estate Of,531110,2
Inner Richmond,743 Cabrillo St,,,Wang Yuh Ta,531110,2
Inner Richmond,4600 California St,,,Wong Ngao Ngen & Fay,531110,2
Inner Richmond,648 7th Ave,,,Wong Ngao Ngen & Fay,531110,2
Inner Richmond,912 Clement St,,,Yong Kee Co Inc,53,2
Inner Richmond,916 Clement St,,,Yong Kee Co Inc,53,2
Inner Richmond,995 4308-4310 California St #216,,,Yu James K,53,2
Inner Richmond,125 Clement St,,,"121-123-125 Clement St., LLC",53,1
Inner Richmond,5017 California St Apt 3,3,yes,1235 46th Ave LLC,531110,1
Inner Richmond,1309 Anza St,9,yes,"1309 Anza Street, LLC",53,1
Inner Richmond,4005 California St,16,yes,"4005 California Street, LLC",531110,1
Inner Richmond,501 Lake St,8,yes,501 Lake Street,531110,1
Inner Richmond,527 Balboa St,,,521 Balboa LLC,531110,1
Inner Richmond,725 6th Ave,,,Anastasio Stanley,531110,1
Inner Richmond,156 9th Ave,,,Barbara Krzywicki,531110,1
Inner Richmond,130 Lake St,12,yes,Berger Reiko O,531110,1
Inner Richmond,205 2nd Ave,,,Blanz David & Karen,531110,1
Inner Richmond,550 Lake St,16,yes,Bush 550 Lake St,531110,1
Inner Richmond,242 5th Ave,,,Callan Robert/Barbara & Callan William/Teresa,531110,1
Inner Richmond,289 9th Ave,,,Ccdc Small Sites LLC,531110,1
Inner Richmond,201 Cornwall St,5,yes,Chao Kevin,531110,1
Inner Richmond,660 8th Ave,,,Chern Harry & Kathy,53,1
Inner Richmond,491 4th Ave,,,Choy Raymond G,531110,1
Inner Richmond,27 Cabrillo St,6,yes,Choy Wilson G,53,1
Inner Richmond,501 Clement St,,,Chun Victor C Etal,531110,1
Inner Richmond,122 124 11th Ave,,,Clayton D. Jew,53,1
Inner Richmond,1726 Anza St,6,yes,Connachta Capital West LLC,531110,1
Inner Richmond,590 7th Ave,,,Dare Kenneth R Et Al,531110,1
Inner Richmond,674 6th Ave,,,Davies Christopher,"531110, 531312",1
Inner Richmond,368 7 Ave,,,Douglas Lim,531110,1
Inner Richmond,479 7th Ave,,,E & H Company,53,1
Inner Richmond,540 Lake St,4,yes,Edmond S & Sophie E Ng,531110,1
Inner Richmond,817 Clement St,8,yes,Estate Of Chan Wing Kwan,531110,1
Inner Richmond,267 11th Ave,,,Faziola Richard J & Hilda,531110,1
Inner Richmond,125 4th Ave,,,Felix Group LLC,531110,1
Inner Richmond,695 3rd Ave B,,,Fox Property Management LLC,531110,1
Inner Richmond,4134 Geary Blvd,,,Frank Properties (Commercial),53,1
Inner Richmond,950 Cabrillo St,14,yes,"Gbp 950 Cabrillo Owner, LLC",531110,1
Inner Richmond,2550 Fulton St,13,yes,Gruber Family Partners,531110,1
Inner Richmond,5000 California St,15,yes,Gruber Family Ptnr/Sockolov,531110,1
Inner Richmond,736 Lake St Apt 2,4,yes,Hallinan T E/Johnson C L,531110,1
Inner Richmond,3500 Fulton St,15,yes,Hamby Carol A & Dennis L,531110,1
Inner Richmond,355 7th Ave,,,Hoffman-Klein,531110,1
Inner Richmond,3100 Fulton St,16,yes,Hurwitt Fishgold Fishgold,531110,1
Inner Richmond,300 Cabrillo St,10,yes,Indelicato Robin/Indelicato Gaspare,531110,1
Inner Richmond,606 Clement St,4,yes,Jackman Eng,531110,1
Inner Richmond,120 Clement St,,,Jaynry Mak,531110,1
Inner Richmond,442 Cabrillo St,4,yes,Joseph Edward Petrick,531110,1
Inner Richmond,3840 Geary Blvd Rm 3840,,,Klestoff Michael & Kathleen,531110,1
Inner Richmond,4721 California St #25,3,yes,Kwan Lim/Kwan Hong/Kwan Yip/Kwan,531110,1
Inner Richmond,115 Clement St,,,Lai Tung Loi,531110,1
Inner Richmond,1143 Balboa St,5,yes,Lam Helen,531110,1
Inner Richmond,1944 Anza St,6,yes,Lee D Y & Shui S K Etal,531110,1
Inner Richmond,420 Lake St,12,yes,Lee Evelyn,531110,1
Inner Richmond,1344 Anza St,4,yes,Lee John W P,531110,1
Inner Richmond,3010 Fulton St Apt 1,12,yes,Lee Mai Kai,531110,1
Inner Richmond,4644 Geary Blvd,,,Lee Sally,531110,1
Inner Richmond,1108 Lake St,6,yes,Lee Shiu-Ming,53,1
Inner Richmond,237 Clement St,,,Leong Roberto & Maria,531110,1
Inner Richmond,342 8th Ave,,,Lila Lim,531110,1
Inner Richmond,1725 Anza St,4,yes,Look G Look J Look B & Look R,531110,1
Inner Richmond,330 11th Ave,,,Louie Kenneth,531110,1
Inner Richmond,1010 Anza St,13,yes,Low Raymond & Irene,531110,1
Inner Richmond,303 Arguello Blvd,,,Margaret Oneill Trustee Et Al,531110,1
Inner Richmond,630 7th Ave,,,Mcdonagh James,531110,1
Inner Richmond,2045 Anza St,5,yes,Miura Shigeko,53,1
Inner Richmond,435 2nd Ave,,,Moriarty Dennis F & Terese C,531110,1
Inner Richmond,653 Arguello Blvd,,,Nam Investments Lp,531110,1
Inner Richmond,4748 California St,,,Nancy C. Kearney Trustee,531110,1
Inner Richmond,745 Balboa St,6,yes,Ng Family 1989 Revocable Trust,531110,1
Inner Richmond,562 6th Ave,,,Ng Shirley K,53,1
Inner Richmond,4444 Geary Blvd Ste 100,,,"Pao-Teh Property Inc., C/O Nancy Tan",531110,1
Inner Richmond,451 Clement St,4,yes,Paolio Clement LLC,531110,1
Inner Richmond,24 Balboa St Apt 4,3,yes,Peng-Chiu Leong,531110,1
Inner Richmond,765 Arguello Blvd,,,Po Ka & Shui W Tse Revoc Trust,531110,1
Inner Richmond,1045 Lake,9,yes,Rally Dean D & Tami L,531311,1
Inner Richmond,601 Lake St,10,yes,Robert Bruce Dunn,531110,1
Inner Richmond,1003 Anza St,5,yes,Rourke Philip & Quiery Marie,531110,1
Inner Richmond,410 Lake St,10,yes,Silvia Weinberger,531110,1
Inner Richmond,295 12th Ave,,,Smith Apartment Properties LLC,531110,1
Inner Richmond,4131 California St,8,yes,Stelling Diane A,531110,1
Inner Richmond,721 Arguello Blvd,,,Suessmann Rosa & Fred,531110,1
Inner Richmond,5026 California St,4,yes,Szeto Tom & Margaret,531110,1
Inner Richmond,4550 California St,6,yes,Tang Ziling,531110,1
Inner Richmond,530 Lake St,12,yes,Thomas And Amy Mecham Family Trust,531110,1
Inner Richmond,5010 California St,6,yes,Tom Sang & Wai Fong,531110,1
Inner Richmond,5027 California St,5,yes,Tong Robinson Sharon,531110,1
Inner Richmond,520 8th Ave,,,Toy Real Estate Investment Company I LLC,531110,1
Inner Richmond,5001 California St,,,Tung Cheung,531110,1
Inner Richmond,1227 Anza St,12,yes,United Glory LLC,531110,1
Inner Richmond,4444 Geary Blvd Ste 306,,,Vanessa Y Wong,531210,1
Inner Richmond,617 Clement St,,,Wapler Trusts - Clement Street,531110,1
Inner Richmond,610 3rd Ave,,,Wilson Marc,531110,1
Inner Richmond,581 3rd Ave,,,Wong Fee Chang & Siu Yip,531110,1
Inner Richmond,635 9th Ave,,,Wong Wilbert & Sriprathum,53,1
Inner Richmond,508 Cabrillo St,4,yes,Yang Kirk Revocable Trust,531110,1
Inner Richmond,5021 California St,5,yes,Yee Alvin P,531110,1
Inner Richmond,4939 California St Apt 4,4,yes,Yee Company LLC,531110,1
Inner Richmond,14 Clement St,14,yes,Yee John,531110,1
Inner Richmond,417 Lake St,4,yes,Yuen Clifford Etal,53,1
Central Richmond,5431 California St,12,yes,"Sf Apartments Investor Holdings, LLC",531110,21
Central Richmond,175 21st Ave,,,"Sf Apartments Investor Holdings, LLC",531110,21
Central Richmond,365 -375 24th Ave,,,"Sf Apartments Investor Holdings, LLC",531110,21
Central Richmond,411 15th Ave,,,Sf Owner LLC,"531110, 531311",18
Central Richmond,359 21st Ave,,,Dewolf Realty Co,531110,14
Central Richmond,449 15th Ave,,,Del Camp Investments Inc,531110,11
Central Richmond,5411 Geary Blvd,,,Del Camp Investments Inc,531110,11
Central Richmond,449 15th Ave,,,Del-Camp Investments Inc,531110,7
Central Richmond,595 22nd Ave,,,T & A Drolapas & Sons L.P.,531110,7
Central Richmond,1440 Clement St,8,yes,Khostovan Ali & Fatemah,53,5
Central Richmond,291 18th Ave #297,,,Leung Eugene,531110,5
Central Richmond,2201 Lake St,12,yes,The Gruber Family Partners,531110,5
Central Richmond,2255 Lake St,12,yes,The Gruber Family Partners,531110,5
Central Richmond,4410 Fulton Ave,6,yes,David Braun,531110,4
Central Richmond,490 23rd Ave,,,Hwang Family Living Trust,531110,4
Central Richmond,5950 California St,15,yes,Rando Maria,53,4
Central Richmond,2011 Clement St,9,yes,Rando Maria,53,4
Central Richmond,1801 Clement St,,,Rando Maria,53,4
Central Richmond,6000 California St,,,Rando Maria,53,4
Central Richmond,2917 Anza St,4,yes,Woo Steven & Carmen,531110,4
Central Richmond,579 21st Ave,,,Woo Steven & Carmen,531110,4
Central Richmond,5950 California St,15,yes,Anthony And Maria Gloria Rando,53,3
Central Richmond,139 23rd Ave,,,Anthony And Maria Gloria Rando,53,3
Central Richmond,5842 5844 Geary,,,Anthony And Maria Gloria Rando,53,3
Central Richmond,5040 Geary Blvd,,,Jsm Sf Investments LLC,531110,3
Central Richmond,5050 Geary Blvd,,,Jsm Sf Investments LLC,531110,3
Central Richmond,5800 Geary Blvd,,,"Minh Ngo & Trinh Thuan Thai, LLC",531110,3
Central Richmond,5812 Geary Blvd,,,"Minh Ngo & Trinh Thuan Thai, LLC",531110,3
Central Richmond,5816 Geary Blvd,,,"Minh Ngo & Trinh Thuan Thai, LLC",531110,3
Central Richmond,418 25th Ave,,,S Lew Family LLC,531110,3
Central Richmond,2252 Clement St,,,Yamagami Dick N,531210,3
Central Richmond,1607 Clement St,,,Yuk Leung-Chan,53,3
Central Richmond,1609 Clement St,,,Yuk Leung-Chan,53,3
Central Richmond,5441 California St,9,yes,2000 Kwei Sang & Michele A U Revocable Trust,531110,2
Central Richmond,343 21st Ave,,,343 21st Ave LLC,531110,2
Central Richmond,2121 Cabrillo St,,,Andy Jiang,53,2
Central Richmond,116 19th Ave,,,Basalle Wong,53,2
Central Richmond,445 24th Ave,,,Bernard Living Trust,531110,2
Central Richmond,3910 Fulton St,14,yes,Birsinger Charlotte C Tr,531110,2
Central Richmond,3918 Fulton St,6,yes,Birsinger Charlotte C Tr,531110,2
Central Richmond,385 387 21st Ave,,,Brightrich LLC,53,2
Central Richmond,5700 Geary Blvd,,,Brightrich LLC,53,2
Central Richmond,1711 Lake St,6,yes,Carl & Alcira Marshall,531110,2
Central Richmond,192 19th Ave,,,Chan Dick J & Yuet Ngor,531110,2
Central Richmond,467 20th Ave,,,Chan Dick J & Yuet Ngor,531110,2
Central Richmond,2332 Clement St # 2334,,,Chang Chen Fmly Revoc Trust,53,2
Central Richmond,332 19th Ave #334,,,Charge Partners LLC,531110,2
Central Richmond,1657 Clement St,8,yes,Chin James & Linda,531110,2
Central Richmond,1744 Clement St,,,Chou David Kai Ying,531110,2
Central Richmond,885 25th Ave,,,Connelly James D,531110,2
Central Richmond,351 19th Ave Ste 605,,,Fong Hanlon J,531110,2
Central Richmond,447 15th Ave,,,John And Trini Artal,531110,2
Central Richmond,4930 Fulton St,15,yes,Khavul Family 2000 Revocable Trust,53,2
Central Richmond,1845 Lake St,6,yes,Khavul Family 2000 Revocable Trust,53,2
Central Richmond,2029 Clement St,4,yes,Lee Chester & Doris K,531110,2
Central Richmond,1550 Clement St Apt 1,12,yes,Lee Living Trust,531110,2
Central Richmond,2139 Balboa St,,,Lee Nancy & Ho Robert,531110,2
Central Richmond,5124 Geary Blvd,,,Lee Shing K,53,2
Central Richmond,5126 Geary Blvd Apt 5128,,,Lee Shing K,53,2
Central Richmond,791 19th Ave,,,Man Lui Lai & Chan Chee Heung,531110,2
Central Richmond,1701 Balboa St,,,Mar Jew,531110,2
Central Richmond,232 17th Ave,,,Maureen Chen,531110,2
Central Richmond,355 24th Ave,,,Maureen Chen,531110,2
Central Richmond,247 19 Th Ave,,,Samuel S. Luk,531110,2
Central Richmond,5620 Geary Blvd,,,Schwarz Family Partnership IIi,53,2
Central Richmond,5630 Geary Blvd,,,Schwarz Family Partnership IIi,53,2
Central Richmond,411 15th Ave,,,Sf Jv LLC,531311,2
Central Richmond,286 17th Ave,,,Shirley Ng,53,2
Central Richmond,2229 Clement St,,,Spellman Martin A & Michael,531110,2
Central Richmond,5856 Geary Blvd,,,Spellman Martin A & Michael,531110,2
Central Richmond,2700 -2706 Anza St,,,The Baron Trust Dated June 3 2010,531110,2
Central Richmond,1949 Clement St,,,The Noni Trust,531110,2
Central Richmond,885 25th Ave,,,"Three Rivers Real Estate And Development, LLC.","53, 531110",2
Central Richmond,5636 California St,9,yes,Wong Family Trust,531110,2
Central Richmond,263 23rd Ave,,,Wong Family Trust,531110,2
Central Richmond,5521 Geary Blvd,,,Zhu Zhu Yu,"53, 531110",2
Central Richmond,5525 Geary Blvd,,,Zhu Zhu Yu,"53, 531110",2
Central Richmond,5700 California St,12,yes,5700 California Street,531110,1
Central Richmond,600 17th Ave,,,600 17th Ave LLC,531110,1
Central Richmond,6200 California St,8,yes,Allen Family Trust,531110,1
Central Richmond,6104 California St,4,yes,Arrabit Pierre,53,1
Central Richmond,279 20th Ave,,,Brian N & Breda Cassidy,531110,1
Central Richmond,6242 California St,4,yes,Chan Ted G C & Lisa S Y,531110,1
Central Richmond,2207 Cabrillo St,6,yes,Chc Partnership Lp,531110,1
Central Richmond,5616 Geary Blvd,,,Chin Henry & Louise,53,1
Central Richmond,271 20th Ave,,,Chui Karen H,531110,1
Central Richmond,5517 California St,,,"Citywide Properties, Inc.",531311,1
Central Richmond,5000 -20 Geary Blvd # 20,,,Davis Njb Sf LLC,531390,1
Central Richmond,5540 California St,6,yes,Der Albert & Connie,53,1
Central Richmond,380 20th Ave,,,Dynasty Foundation Trust,53,1
Central Richmond,5505 California St,4,yes,Ferguson Pe Chu,531110,1
Central Richmond,2936 Anza St,6,yes,Fishgold M Hurwitt L,531110,1
Central Richmond,2201 Balboa St,5,yes,Gautier Properties LLC,531110,1
Central Richmond,527 24th Ave,,,Gordon Lai,531110,1
Central Richmond,337 22nd Ave,,,Guiral Properties,531110,1
Central Richmond,354 25th Ave,,,Hsu S C,531110,1
Central Richmond,363 19th Ave,,,Hum Richard & Ann,531110,1
Central Richmond,1806 Balboa St,,,Jackson Group Property Mgt Inc,531110,1
Central Richmond,3039 Anza St,4,yes,Jeremy & Chloe Lukins,531110,1
Central Richmond,1541 Clement St,,,Jk Folsom Realty LLC,531110,1
Central Richmond,2240 Balboa St Apt 4,4,yes,Katherine S. Velazquez,53,1
Central Richmond,1345 Clement St,15,yes,Keith Goodman,531110,1
Central Richmond,2220 Cabrillo St,4,yes,Khavlil Family 2000 Revoc Tr,53,1
Central Richmond,4950 Fulton St,15,yes,Kwan Lok C,531110,1
Central Richmond,2247 Clement St,3,yes,Lana Bondar LLC,531110,1
Central Richmond,5502 California St,4,yes,Larissou John,531110,1
Central Richmond,301 18th Ave,,,Lee Emily,531311,1
Central Richmond,3421 Anza St,5,yes,Lee Jennie M,531110,1
Central Richmond,600 25th Ave,,,Leong Kirk & May,531110,1
Central Richmond,5624 California St,5,yes,Leung Steven C,531110,1
Central Richmond,1721 Clement St,5,yes,Lew Wilbur F & Shirley,531110,1
Central Richmond,1828 Clement St,6,yes,Lo Frederick Lo Amy,531110,1
Central Richmond,3021 Anza St,6,yes,Lui Kein Hoon & Lui Alice,531110,1
Central Richmond,5614 California St,4,yes,Lydia And Liping Fong,531110,1
Central Richmond,4334 Fulton St,6,yes,Mar Andy L & Velma D,531110,1
Central Richmond,261 21st Ave,,,Mar Richard & Bick,531110,1
Central Richmond,195 14th Ave,,,Michael D. Brusatori And Susan E. Brusatori Revocable Trust,531110,1
Central Richmond,5415 California St Apt,4,yes,Michael J Brady,53,1
Central Richmond,2701 Anza St,4,yes,Mirador Robert & Roland P Eta,531110,1
Central Richmond,3202 Anza St,4,yes,Neuhaus Gerhard,531110,1
Central Richmond,2045 Cabrillo St,12,yes,Neustadt E,531110,1
Central Richmond,1525 Clement St,5,yes,Ng John,531110,1
Central Richmond,2943 Anza St,4,yes,Ng Nancy/Gee Ng Shirley/Ng Jon,531110,1
Central Richmond,174 20th Ave,,,O'neil Margaret/Eggert Karen,531110,1
Central Richmond,201 20th Ave,,,Oplanic IVan,531110,1
Central Richmond,3201 Anza St,4,yes,Pham Dai C& Nguyen Jennifer P,531110,1
Central Richmond,2223 Lake St,6,yes,Polaris Prime Holding LLC,53,1
Central Richmond,5430 - 54 5488 Geary Blvd,,,Qiu Qi Hang,531110,1
Central Richmond,3111 Anza St,3,yes,Rita Tan,531110,1
Central Richmond,6033 Geary Blvd,,,Sfrealestate Enterprises,531210,1
Central Richmond,1502 Cabrillo St #8,4,yes,Smith Mahon Hilary,531110,1
Central Richmond,2115 Clement St,4,yes,Soukvilay Thao Heng,531110,1
Central Richmond,221 24th Ave,,,Susan Mitchell,531110,1
Central Richmond,374 25th Ave,,,Szeto Donald F & Susana,53,1
Central Richmond,2150 Balboa St,15,yes,The 2002 Gursky Family Trust,531311,1
Central Richmond,2800 Anza St,4,yes,Toy Laura Ng,531110,1
Central Richmond,2030 Balboa St Apt #4,4,yes,Wahong Bill Wong Bypass Trust,531110,1
Central Richmond,1900 Cabrillo St,9,yes,Wong Christopher/Wong Maurice,531110,1
Central Richmond,266 24th Ave #270,,,Wong Collin,531110,1
Central Richmond,6112 California St,8,yes,Wong Dexter,53,1
Central Richmond,2444 Anza St,4,yes,Wong Hing J & Sue K,531110,1
Central Richmond,5420 California St,4,yes,Wong Leonard,531110,1
Central Richmond,300 16th Ave,,,Woo Family Trust,531110,1
Central Richmond,4424 Fulton St,9,yes,Yale Downes,531110,1
Cole Valley,700 Ashbury St,,,Dewolf Realty Co,531110,14
Cole Valley,275 Grattan St,11,yes,"Sf Multifamily Pool 2-3 (B) Owner, LLC",531110,9
Cole Valley,21 Beulah St,30,yes,Talmage Oa Co Inc Bruenn,531110,6
Cole Valley,773 Cole St,12,yes,Talmage Oa Co Inc Bruenn,531110,6
Cole Valley,769 Cole St,4,yes,Talmage Oa Co Inc Bruenn,531110,6
Cole Valley,775 Cole St,,,Talmage Oa Co Inc Bruenn,531110,6
Cole Valley,778 Cole St,,,Talmage Oa Co Inc Bruenn,531110,6
Cole Valley,781 Cole St,,,Talmage Oa Co Inc Bruenn,531110,6
Cole Valley,1663 Waller St,5,yes,Colabianchi Sebastian F,531110,5
Cole Valley,1659 Waller St,,,Colabianchi Sebastian F,531110,5
Cole Valley,1409 Shrader St,6,yes,Khostovan Ali & Fatemah,53,5
Cole Valley,622 Shrader St #624,8,yes,Leung Eugene,531110,5
Cole Valley,624 Shrader St,,,Leung Eugene,531110,5
Cole Valley,795 Ashbury St,10,yes,"Sf Multifamily Pool 5 (C) Owner, LLC",531110,5
Cole Valley,396 -398 Frederick St,,,Govan Legacy LLC,531110,4
Cole Valley,41 - 43 Carl St,,,Govan Legacy LLC,531110,4
Cole Valley,173 Parnassus Ave,,,Woo Steven & Carmen,531110,4
Cole Valley,144 Carl St,12,yes,Joal LLC,531110,3
Cole Valley,156 Parnassus Ave,,,Kingsley Sanford,531110,3
